"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining"
"15425","0.088",,,,,"pp",,"CX3CL1 (pp) APOE",,"0.457","false","pp","CX3CL1 (pp) APOE","0.429"
"15426",,,,,,"pp",,"CX3CL1 (pp) GDF15",,"0.579","false","pp","CX3CL1 (pp) GDF15","0.579"
"15427",,,,,,"pp",,"CX3CL1 (pp) TLR2",,"0.473","false","pp","CX3CL1 (pp) TLR2","0.473"
"15428","0.063",,"0.9",,,"pp",,"CX3CL1 (pp) GNB5",,"0.902","false","pp","CX3CL1 (pp) GNB5",
"15429",,,,,,"pp",,"CX3CL1 (pp) IL1B",,"0.577","false","pp","CX3CL1 (pp) IL1B","0.577"
"15430","0.061",,,,,"pp",,"CX3CL1 (pp) ICAM1",,"0.747","false","pp","CX3CL1 (pp) ICAM1","0.742"
"15431",,,,,,"pp",,"CX3CL1 (pp) CSF1R",,"0.449","false","pp","CX3CL1 (pp) CSF1R","0.449"
"15432",,,"0.9",,,"pp",,"CX3CL1 (pp) CCR5",,"0.964","false","pp","CX3CL1 (pp) CCR5","0.66"
"15433",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCL16",,"0.962","false","pp","CX3CL1 (pp) CXCL16","0.64"
"15434",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCR1",,"0.957","false","pp","CX3CL1 (pp) CXCR1","0.587"
"15435","0.058",,"0.9",,,"pp",,"CX3CL1 (pp) CCR1",,"0.962","false","pp","CX3CL1 (pp) CCR1","0.632"
"15436",,,,,,"pp",,"CX3CL1 (pp) CSF2",,"0.628","false","pp","CX3CL1 (pp) CSF2","0.628"
"15437",,,"0.9",,,"pp",,"CX3CL1 (pp) OXGR1",,"0.9","false","pp","CX3CL1 (pp) OXGR1",
"15438",,,"0.9",,,"pp",,"CX3CL1 (pp) C3AR1",,"0.908","false","pp","CX3CL1 (pp) C3AR1","0.124"
"15439","0.062",,,,,"pp",,"CX3CL1 (pp) CCL11",,"0.691","false","pp","CX3CL1 (pp) CCL11","0.684"
"15440",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCL10",,"0.97","false","pp","CX3CL1 (pp) CXCL10","0.712"
"15441","0.061",,"0.9",,,"pp",,"CX3CL1 (pp) CXCL8",,"0.967","false","pp","CX3CL1 (pp) CXCL8","0.685"
"15442",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCL11",,"0.956","false","pp","CX3CL1 (pp) CXCL11","0.583"
"15443",,,"0.9",,,"pp",,"CX3CL1 (pp) P2RY14",,"0.9","false","pp","CX3CL1 (pp) P2RY14","0.049"
"15444",,,"0.9",,,"pp",,"CX3CL1 (pp) ADCY4",,"0.9","false","pp","CX3CL1 (pp) ADCY4",
"15445",,,"0.9",,,"pp",,"CX3CL1 (pp) CXCR2",,"0.957","false","pp","CX3CL1 (pp) CXCR2","0.594"
"15446",,,"0.9",,,"pp",,"CX3CL1 (pp) CCR8",,"0.942","false","pp","CX3CL1 (pp) CCR8","0.447"
"15447","0.063",,,,,"pp",,"CX3CL1 (pp) CSF1",,"0.53","false","pp","CX3CL1 (pp) CSF1","0.519"
"15448","0.062",,,,,"pp",,"CX3CL1 (pp) CD86",,"0.43","false","pp","CX3CL1 (pp) CD86","0.417"
"15449",,,"0.9",,,"pp",,"CX3CL1 (pp) GNG2",,"0.9","false","pp","CX3CL1 (pp) GNG2",
"15450","0.062",,"0.9",,,"pp",,"CX3CL1 (pp) OPRL1",,"0.922","false","pp","CX3CL1 (pp) OPRL1","0.237"
"15451","0.081",,,,,"pp",,"CX3CL1 (pp) CXCL14",,"0.42","false","pp","CX3CL1 (pp) CXCL14","0.394"
"15452",,,"0.9",,,"pp",,"CX3CL1 (pp) FPR3",,"0.905","false","pp","CX3CL1 (pp) FPR3","0.096"
