"","gene","lfc1","lfc2","lfc3","lfc4e","lfc4s"
"31","TMEM176A",-1.30139180389311,0.42407929339475,-0.0355149316929813,0.231863848357302,-0.11174075780682
"32","M6PR",0.33199942264745,0.208813012267232,0.213646994567084,0.279455803773486,0.280399947838611
"33","KLHL13",-0.704279411069125,-0.362309579423297,0.0252563312899132,-0.287337955852364,-0.409133244568482
"34","CYP26B1",-0.784868587931188,-2.23714102319884,-1.72986616546669,-0.864578263532865,-0.778978558955769
"35","ICA1",0.643185589273477,1.02981345876585,1.2484550747351,0.881752325009764,0.781344976324283
"36","DBNDD1",2.587753555892,2.56390955590808,2.411763850215,2.27300623209579,2.32265403658472
"37","ALS2",0.856711793124609,0.350646522315243,0.553708200143029,0.518141099764083,0.58812799828537
"38","CASP10",-0.341978384472749,-0.99102673952141,-0.677227661496133,-1.10634028445333,-1.18298492922162
"39","CFLAR",-0.33720164135504,-0.630071752592176,-0.593534266052232,-0.311452710087527,-0.206742674116585
"40","TFPI",0.0635651905131798,-1.13524032037326,-1.3860667354934,-0.112929766593645,-0.0326881963870084
"41","NDUFAF7",0.466014371917682,0.63855354920979,0.330045811875179,0.365494482773353,0.340886902350189
"42","RBM5",-0.0905441616087585,-0.0765945971306523,0.16743908451094,-0.0982772659165163,0.0660577834991242
"43","MTMR7",-0.281052081661886,-1.08670815402509,-0.954255528245288,-0.684085188905301,-0.25101206248639
"44","SLC7A2",-0.0705380482015893,-2.21787824378831,-0.550450597458987,-0.556156257655109,0.289450853974405
"45","ARF5",-0.101257873143393,0.388983918440773,0.414736378888953,0.217939950152659,0.0605521808923744
"46","SARM1",-0.19324854537944,-0.0187141523967065,-0.092527816211655,-0.061909280988171,0.0887444098077453
"47","POLDIP2",0.139294293874653,0.49423379882766,0.31181613555644,0.155839890214281,-0.0084202069605433
"48","PLXND1",0.684521132177763,-0.351939423409645,-0.0219702477070283,0.861391932719068,0.733496029201987
"49","AK2",0.12940370865554,0.0399997738691787,0.0110959843434589,-0.311548878912843,-0.394420495916601
"50","CD38",-0.672129983881498,-1.34193989365272,-1.42151882614715,-0.971206179451911,-0.177042857305327
"51","FKBP4",0.830724857104456,0.684234321228044,1.02156819150702,0.511274366618123,0.279920835423037
"52","KDM1A",1.02849840655536,0.88650217739014,0.826108749967839,0.655054966168049,0.677962728645879
